famid,year_long,interview_num,dateint,state_temp,age,sex,num_child_below_18,dep,race,mar_status,mar_status_reported,educ_cat,num_dep_away,emp_status,wkswkd_per_yr_cat,wkswkd_per_yr_unemp,hrswkd_per_wk_cat,hrswkd_per_wk_unemp,earn_per_yr_cat,earn_per_hr,inc_per_yr,fam_inc_per_yr,tax_inc,mtr,tp,fdexp,eoexp,stamps,fdstd,accstamps,accfdexp,acceoexp,stampssvdlm,stampsinc,stampsmths,stampssvdly,eoexp_unit_usestamps,eoexp_amount_usestamps,eoexp_unit_nostamps,eoexp_amount_nostamps,fdexp_nonzero_usestamps,fdexp_unit_usestamps,fdexp_amount_usestamps,fdexp_unit_nostamps,fdexp_amount_nostamps,stamps_amount,stamps_unit,nonhs_years,college_years,hs_cat,earn_per_yr_reported,int_mth,int_day,int_yr,emp_status_first,emp_status_wife,state_fips_temp,sippst,state_string,state_short,st,edu_yrs,has_hs,edu_yrs_missing,female,white,black,mardum,wg_psid,anwg,qwg,cpiah,cpiaway,cpi,cpi_norm,fdexp_amount,fdexp_unit,eoexp_amount,eoexp_unit,food_home_zel,fdcons,miss,fdcons_prev,fdcons_prev2,lnfdcons,lnfdcons_prev,lnfdcons_prev2,dlnfdcons,dlnfdcons_alt,test,d2lnfdcons,d2lnfdcons_alt,d2lnfdcons_alt2,lnfdstd,dlnfdstd,dlnfdstd_alt,d2lnfdstd,empl,unempl,f_unemp,unemploy,unemploy_original,spwork_available,spwork_yn_original,year_st,mth,mth_st,numdig_mth,zero,month,day_st,nndate_psid,start,calc_year,calc_month,calc_day,kids,year_short,cat,taxinc,tao,tao_sched,tti,iui1,min,max,tao_sipp,annwg,bpw,hq1w,hq2w,part,empcens,tenure,waitper,retro,wba_min,wba_max,pbpw,dur_min,dur_max,spwork_yn,nndate_sipp,wba,maxdur,elig,elig_min,elig_ch,iui1_gruber,state,repl4,sstax,mcaretax,ssmax,mcaremax,tao1,repl4a,state_fips_excluded_chetty,year,nndate,unemp_rate,state_abbrev,region,u0m1,u0c1,rwg,female_orig,repl4a_orig,rwgtax,dlnfdcons_ALT,wgt,reprate_u0c1,reprate_u0m1
13731,1985,,424,1,60,1,0,1,2,5,5,3,0,3,0,22,0,40,4600,5.3200002,4600,5098,4600,12,145,2340,0,0,393,0,0,0,0,,0,0,,,,,,,,,,,,11,0,3,,,,,,0,1,Alabama,Alabama,AL,Alabama,10,0,0,0,0,1,0,211.53847,11000,2750,1.0146341,1.0413064,107.6,1.0356112,,,,,2340,2306.25,0,1820,1370.7572,7.7433782,7.5065918,7.2231188,.23678637,.23678637,.23678637,,-.046686649,,5.9738097,0,0,,0,1,,1,1,1,0,85,4,4,1,0,4,24,850424,,85,4,24,0,85,1,,.12,,11000,114.58334,22,120,.1,11000,11000,2750,2750,1,0,0,0,0,22,120,.33333334,11,26,0,19850424,114.58334,26,1,,1,114.58334,1,.54166669,.07,.0145,37800,,.12,.067037977,0,1985,850424,9.0829792,AL,6,-.010428790103111,.2201303384128808,.19659708,0,.6687243,.15924366,.23678637,1,.014757093,-.000699125
20025,1978,,2,1,57,1,0,2,2,1,1,0,0,3,0,26,0,40,1200,1.15,1200,1200,1200,0,0,1560,0,0,721,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,Alabama,Alabama,AL,Alabama,2.5,,0,0,0,1,1,50.76923,2640,660,.73073173,.65321803,65.199997,.62752646,,,,,1560,2134.8464,0,2383.0105,2461.9617,7.6661501,7.7761197,7.8087139,-.10996962,-.10996962,-.10996962,-.63859415,-.077375412,-.63859415,6.5806394,0,0,-.074855328,0,1,0,1,1,0,0,78,,.,1,0,0,,780315,780315,78,3,15,0,78,2,,0,,2640,27.5,15,90,.1,2640,2640,660,660,1,0,0,,,,,,0,,0,19780316,,,1,,1,27.5,1,.54166669,.058499999,.0145,16500,,0,-.026363216,0,1978,780315,6.8148193,AL,6,-.1886588703282825,-.0671723513322064,.077866919,0,.5753231,.073311709,-.10996962,1,.0017708793,.0049736546
13731,1979,,8,1,54,1,1,3,2,1,1,3,0,3,0,52,0,50,10000,3.8499999,10000,16656,16656,22,1904,3640,300,0,1065,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,1,,Alabama,Alabama,AL,Alabama,10,,0,0,0,1,1,221.15384,11500,2875,.80000001,.72814602,72.599998,.69874877,,,,,3640,4962.0054,0,5119.0879,5762.8057,8.5095654,8.5407314,8.6591797,-.031166077,-.031166077,-.031166077,-.96112871,.087282181,-.96112871,6.9707303,0,0,-.90462208,0,1,0,1,1,1,1,79,,.,1,0,0,,790807,790601,79,8,7,1,79,2,,.22,,17320,90,15,90,.1,11500,11500,2875,2875,1,0,0,,,,,,0,,0,19790808,,,1,,1,90,1,.40695652,.0605,.0145,17700,,.22,-.036076151,0,1979,790807,8.4376221,AL,6,.0057785188531545,.1464286173243321,.30461964,0,.56561017,.21917383,-.031166077,1,-.0052825809,-.00020846672
8622,1979,,1,1,29,1,0,1,1,2,2,7,0,3,0,47,0,40,6400,3.3800001,6400,6499,6499,19,550,1560,520,0,468,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,0,,Alabama,Alabama,AL,Alabama,16,,0,0,1,0,0,86.53846,4500,1125,.80000001,.72814602,72.599998,.69874877,,,,,1560,2664.1423,0,3642.5208,,7.8876376,8.2004309,,-.31279325,-.31279325,-.31279325,.060801506,,.060801506,6.1484685,0,0,.98482752,0,1,0,1,1,1,0,79,,.,1,0,0,,790301,790301,79,3,1,0,79,1,,.19,,4660,46.875,15,90,.1,4500,4500,1125,1125,1,0,0,,,,,,0,,0,19790300,,,1,,1,46.875,1,.54166669,.0605,.0145,17700,,.19,.12101773,0,1979,790301,8.4376221,AL,6,.0057785188531545,.1464286173243321,.11919899,0,.72270405,.089339636,-.31279325,1,.017720459,.00069930323
20206,1980,,424,1,54,2,0,2,2,3,3,2,0,3,0,39,0,40,4500,2.8800001,4500,6519,4500,14,28,0,0,1656,772,0,0,0,138,,3,414,,,,,,,,,,,,,,,,,,,,0,,Alabama,Alabama,AL,Alabama,7,,0,1,0,1,0,96.153847,5000,1250,.8468293,.79923153,82.400002,.79307026,,,,,1656,1955.5299,0,2600,2846.4619,7.5784163,7.8632669,7.9538321,-.2848506,-.2848506,-.2848506,-1.1370487,-.19428539,-1.1370487,6.6489844,-.34678173,-.34678173,-1.0219564,0,1,0,1,1,1,0,80,4,4,1,0,4,24,800424,,80,4,24,0,80,1,,.14,,5000,52.083332,15,90,.1,5000,5000,1250,1250,1,0,0,,,,,,0,,0,19800424,,,1,,1,52.083332,1,.54166663,.061299998,.0145,22900,,.14,.076499023,0,1980,800424,9.7256575,AL,6,.0850637017475346,.2884955863145626,.11669156,1,.67818534,.093201548,-.2848506,1,.022069631,.0065072901
19894,1980,,421,1,24,1,1,3,1,1,1,3,0,3,0,28,0,60,6000,3.5699999,6000,6700,6300,0,0,2340,0,0,977,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,6,,Alabama,Alabama,AL,Alabama,10,,0,0,1,0,1,196.48077,10217,2554.25,.8468293,.79923153,82.400002,.79307026,,,,,2340,2763.2488,0,2600,5421.5596,7.9241624,7.8632669,8.5981388,.060895443,.060895443,.060895443,-.10817719,.79576731,-.10817719,6.8844867,0,0,.14901972,0,1,0,1,1,1,0,80,4,4,1,0,4,21,800421,,80,4,21,1,80,2,,0,,10217,90,15,90,.1,10217,10217,2554.25,2554.25,1,0,0,,,,,,0,,0,19800420,,,1,,1,90,1,.45806009,.061299998,.0145,22900,,0,-.1137135,0,1980,800421,9.7256575,AL,6,.0850637017475346,.2884955863145626,.23844755,0,.48797283,.2238307,.060895443,1,-.032805841,-.0096728904
23217,1981,,420,1,34,1,6,9,2,1,1,5,0,3,0,35,0,40,9135,6.5599999,9135,17724,14788,14,189,520,0,4716,2696,0,0,0,393,,9,1287,,,,,,,,,,,,,,,,,,,,2,,Alabama,Alabama,AL,Alabama,12,,0,0,0,1,1,346.15384,18000,4500,.92000002,.87223822,90.900002,.87487972,,,,,5236,5691.3042,0,4373.459,3575,8.6466951,8.3833094,8.1817207,.26338577,.26338577,.26338577,.18326664,.061797142,.18326664,7.8995247,.12382889,.12382889,-.18484354,0,1,0,1,1,1,0,81,4,4,1,0,4,20,810420,,81,4,20,6,81,2,,.14,,24000,90,15,90,.1,18000,18000,4500,4500,1,0,0,,,,,,0,,0,19810420,,,1,,1,90,1,.25999999,.061299998,.0145,25900,,.14,-.27615735,0,1981,810420,13.18374,AL,6,.2760522748629723,.5927123201119,.38080731,0,.32552898,.30415079,.26338577,1,-.16368186,-.076233864
19899,1981,,420,1,26,1,1,3,1,1,1,5,0,3,0,52,0,50,9600,3.6900001,9600,9900,9900,16,505,2340,60,0,977,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,6,,Alabama,Alabama,AL,Alabama,12,,0,0,1,0,1,219.23077,11400,2850,.92000002,.87223822,90.900002,.87487972,,,,,2340,2612.2668,0,1378.2548,3657.4011,7.8679738,7.2285733,8.2045078,.63940048,.63940048,.63940048,-.4453063,1.615335,-.4453063,6.8844867,.19862556,.19862556,.19862556,0,1,0,1,1,1,0,81,4,4,1,0,4,20,810420,,81,4,20,1,81,2,,.16,,13000,90,15,90,.1,11400,11400,2850,2850,1,0,0,,,,,,0,,0,19810420,,,1,,1,90,1,.41052631,.061299998,.0145,25900,,.16,-.074491881,0,1981,810420,13.18374,AL,6,.2760522748629723,.5927123201119,.24117796,0,.52719444,.18780528,.63940048,1,-.044152256,-.020563653
2218,1982,,323,1,24,1,1,3,2,1,1,4,0,3,0,39,0,32,5000,4.04,5000,12890,12000,18,871,2080,120,0,977,0,0,0,0,,2,96,,,,,,,,,,,,,,,,,,,,1,,Alabama,Alabama,AL,Alabama,12,,0,0,0,1,1,115.38461,6000,1500,.96878052,.91834772,96.5,.92877769,,,,,2080,2277.6985,0,3804.0356,1237.0536,7.7309208,8.2438173,7.1204877,-.51289654,-.51289654,-.51289654,.66073847,-1.6362262,.66073847,6.8844867,0,0,0,0,1,0,1,1,1,1,82,3,3,1,0,3,23,820323,,82,3,23,1,82,2,,.18000001,,12000,62.5,15,90,.1,6000,6000,1500,1500,1,0,0,,,,,,0,,0,19820324,,,1,,1,62.5,1,.54166669,.066500001,.0145,29700,,.18000001,.11718122,0,1982,820323,12.812248,AL,6,.2550376315766609,.5641297000003143,.11956955,0,.71886754,.090095654,-.51289654,1,.066105403,.02988562
15712,1982,,322,1,25,1,0,1,2,2,2,3,0,3,0,41,0,36,6500,4.5100002,6625,7599,6625,18,528,910,442,0,468,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,0,,Alabama,Alabama,AL,Alabama,10,,0,0,0,1,0,152.53847,7932.0005,1983.0001,.96878052,.91834772,96.5,.92877769,,,,,910,1420.6244,0,2009.2108,1784.2655,7.2588515,7.6054974,7.486762,-.34664583,-.34664583,-.34664583,-.41010046,-.46538115,-.41010046,6.1484685,0,0,0,0,1,0,1,1,1,0,82,3,3,1,0,3,22,820322,,82,3,22,0,82,1,,.18000001,,7932,82.625008,15,90,.1,7932.0005,7932.0005,1983.0001,1983.0001,1,0,0,,,,,,0,,0,19820322,,,1,,1,82.625008,1,.54166669,.066500001,.0145,29700,,.18000001,.11718122,0,1982,820322,12.812248,AL,6,.2550376315766609,.5641297000003143,.15807095,0,.71886754,.11910646,-.34664583,1,.066105403,.02988562
